"txt_cleaned","incivility","DIC","doc"
"鄭衣ken<U+00A0><U+00A0>都係扮古惑仔掂左 你掂啦 :",0,0,"鄭衣 都係 扮 古惑仔 掂 左 你 掂 啦"
"香港有班垃圾黃屍，註定無運行",3,1,"香港 有班 垃圾 黃屍 註定 無運行"
"林鄭擺明陰9 me! 文字偽術好無恥!呃完一次又一次, 佢當我地係白痴!一於整首打油詩, 咪恰我地唔識字!聲明只係抄上次, 英文輕輕執咗啲!老豆老母受騙了, 快啲搵人話佢知!新瓶舊酒掩眼法, 依家先知未算遲!學生無罪應釋放, 撤回惡法要堅持!轉發1個係朋友, 轉發10個係義士!齊齊推上tvb, 快啲share俾人知!",1,1,"林鄭 擺明 陰 文字 偽術 好無恥 呃 完 一次 又 一次 佢 當我 地 係 白痴 一於 整首 打油詩 咪 恰 我地 唔識字 聲明 只係 抄 上次 英文 輕輕 執咗 啲 老豆老母 受騙 了 快啲 搵人 話佢知 新瓶 舊 酒 掩眼法 依家 先知 未算 遲 學生 無罪 應 釋放 撤回 惡法 要堅持 轉發 個 係 朋友 轉發 個 係 義士 齊齊 推上 快啲 俾人知"
"90年代初期好像是最快樂的時光,那時候還沒有這麼多大型商場,但鄰里都比較快樂。",0,0,"年代 初期 好像 是 最 快樂 的 時光 那時候 還沒 有 這麼多 大型 商場 但 鄰里 都 比較 快樂"
"講左好耐啦, 但曱甴仲講緊呆灣零確診, 要去",2,1,"講左 好耐 啦 但 曱甴 仲講 緊 呆灣 零 確診 要去"
"支持啦，我屋企有人長期病患都支持醫護罷工本身公立醫院都壓力大，宜家仲要放d生化武器過嚟，真係on99",1,1,"支持 啦 我 屋企 有人 長期 病患 都 支持 醫護 罷工 本身 公立 醫院 都 壓力大 宜家 仲要 放 生化武器 過嚟 真係"
"mr. victor : ""過門都係客"":loveliness:子強 cheung : ""咁我唔客氣喇"":",0,0,"過門都係客 子強 咁 我 唔客氣 喇"
"保皇黨，阿王無事生非",0,0,"保皇黨 阿王 無事生非"
"撲街曱甴死全家。",3,1,"撲街 曱甴 死全家"
"老曱甴食天使",2,1,"老 曱甴 食 天使"
"個女既老豆老母實告條仔一齊濫炒",0,0,"個 女 既 老豆老母 實告 條仔 一齊 濫 炒"
"帶你老母落公園sir下滑梯",0,0,"帶你 老母 落公園 下 滑梯"
"去到比人綁架，記得去英國領事館求救:fst_006:",0,0,"去到 比人 綁架 記得 去英國 領事館 求救"
"打我女神？未撚死過？",1,1,"打 我 女神 未 撚 死過"
"香港都有咁情況啦，夠得賠唔撚夠，又或者無得賠，咪出黎鳩up嚕，你無睇咩？ 另外你估大陸真係無得去審呢d 野呀？ 問題你有無錢，香港你無錢咪又係無得打，睇少d 毒果啦 傻仔。",1,1,"香港 都 有咁 情況 啦 夠得 賠 唔撚夠 又 或者 無得 賠 咪 出黎 鳩up 嚕 你 無 睇咩 另外 你估 大陸 真係 無得 去 審 呢 野呀 問題 你 有 無錢 香港 你 無錢 咪 又係 無得 打 睇少 毒果 啦 傻仔"
"社會學家最大問題係不通政治經濟地理民生科技亦係左膠通病",2,1,"社會學家 最大 問題 係 不通 政治 經濟 地理 民生 科技 亦係 左膠 通病"
"你契哥淫賤黎要乞求訂閱，你條打靶仲吳去揾工;p;p",1,1,"你 契哥 淫賤 黎要 乞求 訂閱 你條 打靶 仲 吳去 揾工"
"對方出咩人有公開，次次都係個幾條友。下下玩程序，浪費納稅人錢，黑警狗女k仔案仲未解釋到呀，斷正都撒控。",2,1,"對方 出咩 人有 公開 次次 都係 個 幾 條友 下下 玩 程序 浪費 納稅人 錢 黑警 狗女 仔案 仲未 解釋 到 呀 斷正 都 撒控"
"請教下「不要低頭 光環會掉下來」, 如何強?",0,0,"請教下 不要 低頭 光環 會 掉 下來 如何 強"
"硬件發展了，可是軟件還未開發",0,0,"硬件 發展 了 可是 軟件 還未 開發"
"打柒暴徒????????",3,1,"打柒 暴徒"
"狗乸無得叫雞",2,1,"狗乸 無得 叫雞"
"生人霸死地住公屋班正仆街冚家剷 :",1,1,"生人 霸 死地 住公屋 班正 仆街 冚家剷"
"佔中老臨痴咗…:l",0,0,"佔中 老臨痴 咗"
"睇黎真係做到痴q左線喎",0,0,"睇黎 真係 做到 痴 左線 喎"
"縮撚咗啦 有錢佬都係柒頭嚟 唔駛諗",1,1,"縮 撚 咗啦 有錢佬 都係 柒頭 嚟 唔駛諗"
"呢條死肥婆就要戴口罩啦!",2,1,"呢條 死肥婆 就要 戴口罩 啦"
"而家能打入歐美最賣座又叫好的日系3a大作只剩dark soul同 bloodborne，其入面光影特效3d人物模型都係分去大陸人搞，最近隻伊蘇8入面的事件分鏡都係大陸人負責近日遊戲界重磅消息係任天堂直面會公佈switch會推出內地火熱的王者榮耀海外版。大陸acg的春天將盡早來臨，對比漁港真可謂相形見拙",0,0,"而家 能 打入 歐美 最 賣座 又 叫好 的 日系 大作 只剩 同 其 入面 光影 特效 人物 模型 都係 分去 大陸人 搞 最近 隻 伊蘇 入面 的 事件 分鏡 都係 大陸人 負責 近日 遊戲 界 重磅 消息 係 任天堂 直面 會 公佈 會 推出 內地 火熱 的 王者榮耀 海外版 大陸 的 春天 將 盡早 來臨 對比 漁港 真 可謂 相形見拙"
"如果咁講即係死局啦，成日話我哋唔出聲，但我哋要點先算出聲？我唔係冇發過聲，唔係冇聯署，成要我哋好似北角咁自己組自衛隊先算出聲？香港嘅法律明顯保護班曱甴，我哋同佢哋鬥，最終只係我哋去坐監，邊個咁出嚟？民心唔歸附係問題，因為香港嘅經濟仲未正式仆街，我都唔支持阿爺出手，反正班垃圾想攬炒，咁大家一齊死囉",3,1,"如果 咁講 即係 死局 啦 成日話 我哋 唔出聲 但 我哋 要點 先算 出聲 我 唔係 冇 發過 聲 唔係 冇 聯署 成 要我哋 好似 北角 咁 自己 組 自衛隊 先算 出聲 香港嘅 法律 明顯 保護 班 曱甴 我哋 同 佢哋 鬥 最終 只係 我哋 去 坐監 邊個 咁 出嚟 民心 唔 歸附 係 問題 因為 香港嘅 經濟 仲未 正式 仆街 我 都 唔支持 阿爺 出手 反正 班 垃圾 想 攬炒 咁大 家 一齊 死囉"
"你講豬西滴呀？",2,1,"你講 豬西滴 呀"
"如果全民派錢， 一定會派埋比啲曱甴， 既然係咁， 不如大家都唔好派。",2,1,"如果 全民 派錢 一定 會 派埋 比 啲 曱甴 既然 係咁 不如 大家 都 唔好 派"
"https://news.rthk.hk/rthk/ch/component/k2/1508871-20200216.htm?sptabchangeable=0美國政府據報計劃禁止通用電氣，向中國出售引擎，可能影響中國國產客機c919的研發工作。路透社、《華爾街日報》等西方傳媒報道，美國政府考慮不再向通用電氣，以及法國賽峰集團合資的子公司cfm國際發牌，出口leap-1c引擎，原因是華府憂慮中國可能會透過逆向工程，取得引擎技術，損害美國商業利益，並增強中國軍力。中國自行研發的c919商用客機，需要使用該款引擎，意味此舉可能影響研發工作。消息指，美國政府將本月28日的內閣會議上討論事件，通用電氣表明反對限制出口，指中國難以透過逆向工程，取得技術，加上這款引擎已經出口中國多年，中國企業可能早已取得技術。",0,0,"美國 政府 據報 計劃 禁止 通用 電氣 向 中國 出售 引擎 可能 影響中國 國產 客機 的 研發 工作 路透社 華爾街日報 等 西方 傳媒 報道 美國 政府 考慮 不 再向 通用 電氣 以及 法國 賽峰 集團 合資 的 子公司 國際 發牌 出口 引擎 原因 是 華府 憂慮 中國 可能 會 透過 逆向 工程 取得 引擎 技術 損害 美國 商業 利益 並 增強 中國 軍力 中國 自行 研發 的 商用 客機 需要 使用 該款 引擎 意味 此舉 可能 影響 研發 工作 消息 指 美國 政府 將 本月 日 的 內閣 會議上 討論 事件 通用 電氣 表明 反對 限制 出口 指 中國 難以 透過 逆向 工程 取得 技術 加上 這款 引擎 已經 出口 中國 多年 中國 企業 可能 早已 取得 技術"
"見到張相片, 就知道班暴民學棍是多麼的兇殘冇血性, 根本就是想用竹枝來傷害執法及醫護人員啊... 真係好賤格歹毒啊... 呢班暴民學棍, 同殘暴野獸冇分別... :",2,1,"見到 張相 片 就知道 班 暴民 學棍 是 多麼 的 兇殘 冇 血性 根本 就是 想用 竹枝 來 傷害 執法 及 醫護人員 啊 真係 好 賤格 歹毒 啊 呢班 暴民 學棍 同 殘暴 野獸 冇分別"
"銅鑼灣巧l多人://i.discuss.com.hk/d/images/r10/androidd.jpg",0,0,"銅鑼灣 巧 多人"
"ban新聞真係好on9,完全係助燃fb同twitter今次學哂777 d反宣傳style",3,1,"新聞 真係 好on9 完全 係 助燃 同 今次 學 哂 反 宣傳"
"一日未獨立都無同港共及黑警和解既空間,齊上齊落!自己推1001",2,1,"一日 未 獨立 都 無同 港共 及 黑警 和解 既 空間 齊上 齊落 自己 推"
"光復香港 時代革命唔撚好推fake news 呀",1,1,"光復香港 時代革命 唔撚 好 推 呀"
"其實點解d五毛封極都仲有？我個list應該應該幾百個喇。",2,1,"其實 點解 五毛 封極 都 仲有 我個 應該 應該 幾百個 喇"
"信~扮撚哂野:",1,1,"信 扮 撚 哂 野"
"如果係黃轉藍，係好事，如果扮藍去黑化藍就令人反感，所以我見到藍絲做的出位野，我會特登閙暴徒曱甴卜街，扮得藍既都係深黃，佢哋會唔鍾意人哋閙暴徒。",3,1,"如果 係 黃 轉藍 係 好事 如果 扮藍去 黑化 藍 就 令人 反感 所以 我 見到 藍絲 做的 出位 野 我會 特登 閙 暴徒 曱甴 卜街 扮得 藍 既 都係 深黃 佢哋 會 唔鍾意 人哋 閙 暴徒"
"唔理個孫係佢自己老豆老母 關我咩事 我點冷血? 我由頭到尾都冇提起個bb 你話人冷血話得多 搞到自己走火入魔",0,0,"唔理 個孫 係 佢 自己 老豆老母 關我咩事 我點 冷血 我 由頭到尾 都 冇提 起個 你 話人 冷血 話 得多 搞到 自己 走火入魔"
"幫佢變因航2號",0,0,"幫佢 變因 航 號"
"董伯有心冇力貪曾有力冇心 c y 有心有力林鄭冇心冇力",2,1,"董伯 有心 冇力 貪曾 有力 冇心 有心有力 林鄭 冇心 冇力"
"所以依家去台灣要你掉160萬開舖請人囉呢樣同150係完全唔同嘅野",0,0,"所以 依家 去 台灣 要 你 掉 萬 開舖 請人 囉 呢樣 同 係 完全 唔同 嘅 野"
"呢d時候我要求跟國際標準",0,0,"呢 時候 我 要求 跟 國際 標準"
"個車箱起碼都3,40人無個幫口，個社會真係咁多廢老藍絲？",2,1,"個 車箱 起碼 都 人 無個 幫口 個 社會 真係 咁多 廢老 藍絲"
"佔中屎忽鬼:@ :@ :@",1,1,"佔中 屎忽鬼"
"原來係佢送gphone坐監咁死撚梗啦",1,1,"原來 係 佢 送 坐監 咁 死撚 梗 啦"
"9年都好有經驗lu, 總有佢生存之道吧",0,0,"年 都好 有經驗 總有 佢 生存之道 吧"
"德福好撚臭又辣眼啊屌你老母",1,1,"德福 好撚 臭 又 辣眼 啊 屌你老母"
"一陣救翻之後 一定要搵議員律師記者 同佢講清楚係唔係有狗逼佢跳樓 如果係嘅話之前嗰啲自殺都好大機會係咁",2,0,"一陣 救翻 之後 一定 要搵 議員 律師 記者 同 佢講 清楚 係唔係 有狗逼 佢 跳樓 如果 係 嘅 話之 前 嗰啲 自殺 都好 大機 會係咁"
"人哋直頭投資移民添，食屎含洋撚洋奴唔恨得咁多！",3,1,"人哋 直頭 投資 移民 添 食屎 含洋 撚 洋奴 唔恨 得咁多"
"算罷啦 打返場仗",0,0,"算罷啦 打返場 仗"
"句「下」真係好撚正",1,1,"句 下 真係 好撚正"
"你講緊元朗班白衫暴徒? 見人就打",2,1,"你 講緊 元朗 班 白衫 暴徒 見人 就 打"
"絕對同意:",0,0,"絕對同意"
"此回覆已被刪除",0,0,"此 回覆 已被 刪除"
"垃圾港女喺巴士度玩視像嘈能住晒，人地望吓都好正常呀:",3,0,"垃圾 港女 喺 巴士 度 玩 視像 嘈能 住晒 人地 望 吓 都好 正常 呀"
"賤婢",1,1,"賤婢"
"大陸人請客, 唔攞發票我就話你豪喇:",0,0,"大陸人 請客 唔攞 發票 我 就話 你 豪 喇"
"日清辣豬骨杯麵---日版",0,0,"日清 辣 豬骨 杯麵 日版"
"呢啲先係打架嘛。好似啲大國咁日撚日口交咩成班都濕鳩黎。明明可以用支那做test ground都唔撚出手，日日諗呢樣諗果樣。屌",3,1,"呢啲 先係 打 架嘛 好似 啲 大國 咁 日 撚 日 口交 咩 成班 都 濕鳩 黎 明明 可以 用 支那 做 都 唔撚 出手 日日 諗 呢樣 諗 果樣 屌"
"的確香港問題係積左落黎好多你可以話係港英政府留下來的so周屎...但97後 一個貪曾就搞到香港走向不歸路了依家差左香港幾時無利用價值",2,1,"的確 香港 問題 係 積 左 落黎 好多 你 可以 話係 港英政府 留下 來的 周屎 但 後 一個 貪曾 就 搞到 香港 走向 不歸路 了 依家 差左 香港 幾時 無利用 價值"
"曱甴暴徒們，你哋先燒啦！白癡！",3,1,"曱甴 暴徒 們 你哋 先燒啦 白癡"
"信佢岸九",1,1,"信 佢 岸九"
"何已完會做慄正屍",2,0,"何 已完 會 做 慄 正屍"
"咪係班仆街黑衣暴徒賤種學生害市民囉！",2,1,"咪係 班仆街 黑衣 暴徒 賤種 學生 害 市民 囉"
"屌你講大話都得繼續講啦還掂個班死忠乜都撑",3,1,"屌你 講大話 都得 繼續講 啦 還掂 個班 死忠 乜都 撑"
"鬥撚到中共收皮先完",1,1,"鬥 撚 到 中共 收皮 先完"
"仲有,唔好搵發過夢既前線上去唔係之後比人跟到最多強調入面已經有一部分前線既意見",0,0,"仲有 唔好搵 發過 夢 既 前線 上去 唔係 之後 比人 跟 到 最多 強調 入面 已經 有 一部分 前線 既 意見"
"老伯香港勝在有你。我地絕對要班黑警同林鄭政權付出代價！",2,1,"老伯 香港 勝在 有 你 我地 絕對要 班 黑警 同 林鄭 政權 付出 代價"
"老味水炮射得咁q激，香港水炮要學下國際標準 :lol",0,1,"老味 水炮 射 得咁 激 香港 水炮 要 學下 國際 標準"
"其實極大部份香港人以前都係支那人",2,1,"其實 極大 部份 香港人 以前 都係 支那人"
"呢條杏＋橙果然夠無恥！自己講明著草唔會返工，但又要照出糧，當納稅人係水魚？:",1,1,"呢條 杏 橙 果然 夠無恥 自己 講明 著草 唔會 返工 但 又要 照 出糧 當 納稅人 係 水魚"
"侵侵直情飛咗我地個特首你叫林鄭情何以堪",0,0,"侵侵 直情 飛 咗 我地 個 特首 你 叫 林鄭 情何以堪"
"貪曾 & ??? :",2,1,"貪曾"
"屌你老母就係你呢啲成日咩都要守害撚死人",1,1,"屌你老母 就係 你 呢啲 成日 咩 都要 守害 撚 死人"
"喂屌第二張話觀塘泳池完，泳池對面係狗屋嚟嫁喎",3,1,"喂 屌 第二張 話 觀塘 泳池 完 泳池 對面 係 狗屋 嚟 嫁 喎"
"咪就係廢老「叫你又唔聽，聽你又唔做，做你又做唔好」囉",2,1,"咪 就係 廢老 叫你 又 唔聽 聽 你 又 唔做 做 你 又 做 唔好 囉"
"妓女惡過人~http://hk.on.cc/int/bkn/cnt/news/20150318/bknint-20150318103701901-0318_17011_001.html【on.cc東網專訊】 波蘭女遊客與丈夫到泰國芭堤雅旅遊期間，因不滿丈夫被一名人妖勾搭，與她激烈爭執，結果被該名妓女用高跟鞋襲擊，扑爆頭受傷，血流如注，要送院治理。遇襲的是42歲女子皮耶奇克，她周日與丈夫同遊芭堤雅，遊覽夜店密集的步行街時，發現丈夫被23歲變性妓女巴甲（plakat somchan，音譯）兜搭，意圖向他提供性服務，皮耶奇克憤而與巴甲爭執，豈料巴甲竟脫下高跟鞋，敲打她的頭部，令皮耶奇克頭破血流。皮耶奇剋期後自行報警，送院治理，而巴甲則被捕，面臨刑事檢控。",0,0,"妓女 惡過 人 東網專訊 波蘭 女 遊客 與 丈夫 到 泰國 芭堤雅 旅遊 期間 因 不滿 丈夫 被 一名 人妖 勾搭 與 她 激烈 爭執 結果 被 該名 妓女 用 高跟鞋 襲擊 扑 爆頭 受傷 血流如注 要 送院 治理 遇襲 的是 歲 女子 皮耶奇克 她 周日 與 丈夫 同遊 芭堤雅 遊覽 夜店 密集 的 步行 街時 發現 丈夫 被 歲 變性 妓女 巴甲 音譯 兜搭 意圖 向 他 提供 性服務 皮耶奇克憤 而 與 巴甲 爭執 豈料 巴甲 竟 脫下 高跟鞋 敲打 她 的 頭部 令皮 耶奇克 頭破血流 皮耶奇 剋 期後 自行 報警 送院 治理 而 巴甲 則 被捕 面臨 刑事 檢控"
"如果消防仍想被香港人尊重唔該出黎講真話",0,0,"如果 消防 仍想 被 香港人 尊重 唔該 出黎 講真話"
"大陸知乎網民都客觀個班五毛同左膠三個受害者：死者1：joseph rosenbaum，36歲，是一個死者2：anthony huber，26歲，傷者：gaige grosskreutz，26歲，當然最最諷刺的是，這四個人，都！是！白！人！",2,1,"大陸 知乎 網民 都 客觀 個班 五毛 同 左膠 三個 受害者 死者 歲 是 一個 死者 歲 傷者 歲 當然 最最 諷刺 的是 這四 個人 都 是 白 人"
"隻賤畜黃屍郭榮鏗呢2 日做咩縮鳩埋唔出嚟繼續亂吠呀 淆晒底喇 不過都冇用 等阿爺清算全方位封殺你全族人 過定去同鬼佬奶屎眼食狗糧都得喇",3,1,"隻 賤畜 黃屍 郭榮鏗 呢 日 做咩 縮 鳩 埋 唔出嚟 繼續 亂吠 呀 淆晒底 喇 不過 都 冇用 等 阿爺 清算 全方位 封殺 你 全族 人 過定 去 同 鬼佬 奶 屎眼 食 狗糧 都 得喇"
"我系度活左30幾年,得出一個結論,香港人係抵撚死",1,1,"我系度 活 左 幾年 得出 一個 結論 香港人 係 抵 撚 死"
"笑到仆街一見到幅階磚三",1,1,"笑到 仆街 一 見到 幅 階磚 三"
"幾多年前的事？",0,0,"幾多 年前 的事"
"仲有流浮山二百刀手",0,0,"仲有 流浮山 二百 刀手"
"係咪安全？",0,0,"係咪 安全"
"之前仲研究緊光觸媒係唔係有用，而家明了，無撚用的",1,1,"之前 仲 研究緊 光觸媒 係唔係 有用 而家 明 了 無 撚 用 的"
"金哥有道理。白人入主北美點對同為人類的土著?…",0,0,"金哥 有道理 白人 入主 北 美點 對 同為 人類 的 土著"
"侵又係到撚狗",3,1,"侵 又係 到 撚狗"
"預告定 又有浮屍 黑警死全家",3,1,"預告 定 又有 浮屍 黑警 死全家"
"樓主呢啲弱智冷氣撚憑咩係度「唉」？",1,1,"樓主 呢啲 弱智 冷氣 撚 憑咩 係度 唉"
"1. 如果你觀察現代型戰爭,美國由波斯灣戰爭中,先用空軍空襲,盡量毀滅對方的軍事力量,最後才出地面部隊,而不是像過往什人海戰術,地面部隊進攻時空軍會適時支援,目的是保護我方,讓傷亡人數降到最低,這是基本軍事常識難道要看到資料才懂嗎?如果你有關注國際新聞,從越戰時代,美國海外動武就算多有正當性,當一具一具美國大兵屍體殉國運回國內時,美國反戰聲浪特別高漲,時至今日,美國要動武其中一重大考量是希望軍人傷亡數字壓到最低,因為現今的老百姓不會因為殉國軍人多而支持戰爭反而會更反戰簡單講,就是現代的軍人在戰場上殺敵又能兼顧保護自己才是真愛國表現,不是逞強逞勇戰死沙場等回國蓋國旗才是愛國古代候被俘虜的兵是貪生怕死的表現,有所謂寧死不降,時代已經不同,我在台灣求學時曾當過兵,長官早就說現今打仗,打不過不要作無謂犧牲,被俘虜不是什麼大不了事,能保住生命是首要選項,當然不要叫你逃兵,而是說作戰時不幸被俘,不用像古時代殉國2.看看太史公如何評價勾踐原文：太史公曰：禹之功大矣，漸九川，定九州，至於今諸夏艾安。及苗裔句踐，苦身焦思，終滅彊吳，北觀兵中國，以尊周室，號稱霸王。句踐可不謂賢哉！蓋有禹之遺烈焉。范蠡三遷皆有榮名，名垂後世。臣主若此，欲毋顯得乎！翻譯：太史公說：禹的功績很大呀，疏導九川，安定九州，直到今天中原太平無事。到了他的後代句踐，苦身勵志，終于消滅了強大的吳國，北上陳兵中原，來尊崇周王室，被稱為霸主，句踐能說不賢明嗎？大概在他身上還存有禹的遺風餘烈吧！范蠡三遷都獲得了榮耀的聲名，名垂后世。臣子君主如果像他們這樣，即便自己不想顯赫，難道可能嗎？ 一個被太史公評為賢明的君主拿他來跟大禹治水相提並論,這樣的君主你能認為他不愛國嗎?只是,他沒有做你所說的殉國行為你開的主題只單純用了""殉國""二字就能表示愛國?現在你懂得要用後世人的評價來看事情,很好,總算開竅了如果你去查歷史搜索打""殉國皇帝"",總之這個皇帝是在位自殺死,都歸類入""殉國""之列,可是有多少皇帝認為他們是""愛國""?殉國=愛國嗎?答案當然是不一定,要視乎情況最為大家熟知是明崇禎,他在梅山上吊自殺完全符合""殉國""的定義,可是你會認為他是愛國嗎?所以現在有個人對你說他很愛國,願意為國捐軀,你相信嗎?所謂聽其言觀其行,我聽你在吹水?一天沒蓋棺,一天也沒法判斷此人說願意殉國,是真心還是假意的愛國,不是嗎?ps:再補充一點,朱容基和周恩來是好官的典範,除了你之外,也沒有看到任何世人用他們二有人殉國的準備去評價他們",0,0,"如果 你 觀察 現代 型 戰爭 美國 由 波斯灣戰爭 中 先用 空軍 空襲 盡量 毀滅 對方 的 軍事力量 最後 才 出 地面 部隊 而不是 像 過往 什 人海戰術 地面 部隊 進攻 時 空軍 會 適時 支援 目的 是 保護 我方 讓 傷亡 人數 降到 最低 這是 基本 軍事 常識 難道 要看 到 資料 才 懂嗎 如果你有 關注 國際新聞 從 越戰 時代 美國 海外 動武 就算 多有 正當 性 當 一具 一具 美國 大兵 屍體 殉國 運回 國 內時 美國 反戰 聲浪 特別 高漲 時至今日 美國 要 動武 其中 一 重大 考量 是 希望 軍人 傷亡 數字 壓到 最低 因為 現今 的 老百姓 不會 因為 殉國 軍人 多 而 支持 戰爭 反而 會 更 反戰 簡單講 就是 現代 的 軍人 在 戰場 上 殺敵 又能 兼顧 保護 自己 才是 真愛 國 表現 不是 逞強 逞勇 戰死沙場 等 回國 蓋 國旗 才是 愛國 古代 候 被 俘虜 的 兵 是 貪生 怕死 的 表現 有 所謂 寧死不降 時代 已經 不同 我 在 台灣 求學 時 曾 當過 兵 長官 早就 說 現今 打仗 打不過 不 要作 無謂 犧牲 被 俘虜 不是 什麼 大不了 事 能 保住 生命 是 首要 選項 當然 不要 叫你 逃兵 而是 說作 戰時 不幸 被俘 不用 像 古 時代 殉國 看看 太史公 如何 評價 勾踐 原文 太史公 曰 禹 之 功 大 矣 漸九川 定 九州 至於 今諸夏 艾安 及 苗裔 句踐 苦身焦思 終滅 彊 吳 北 觀兵 中國 以尊 周室 號稱 霸王 句踐 可不 謂賢哉 蓋有 禹 之 遺烈 焉 范蠡 三遷 皆 有 榮名 名垂 後世 臣 主若此 欲 毋 顯得 乎 翻譯 太史公 說 禹 的 功績 很大 呀 疏導 九川 安定 九州 直到 今天 中原 太平 無事 到了 他 的 後代 句踐 苦身 勵志 終于 消滅 了 強大 的 吳國 北上 陳兵 中原 來 尊崇 周 王室 被 稱為 霸主 句踐 能說 不 賢明 嗎 大概 在 他 身上 還 存有 禹 的 遺風餘烈 吧 范蠡 三 遷都 獲得了 榮耀 的 聲名 名垂 后世 臣子 君主 如果 像 他們 這樣 即便 自己 不想 顯赫 難道 可能 嗎 一個 被 太史公 評為 賢明 的 君主 拿 他 來 跟 大禹 治水 相提並論 這樣 的 君主 你 能 認為 他 不愛國 嗎 只是 他 沒有 做 你 所說的 殉國 行為 你 開 的 主題 只 單純 用了 殉國 二字 就能 表示 愛國 現在 你 懂得 要用 後世 人 的 評價 來看 事情 很好 總算 開竅 了 如果 你 去 查 歷史 搜索 打 殉國 皇帝 總之 這個 皇帝 是 在位 自 殺死 都 歸類 入 殉國 之列 可是 有 多少 皇帝 認為 他們 是 愛國 殉國 愛國 嗎 答案 當然 是 不一定 要 視乎 情況 最為 大家 熟知 是 明 崇禎 他 在 梅山 上吊 自殺 完全符合 殉國 的 定義 可是 你 會 認為 他 是 愛國 嗎 所以 現在 有 個人 對你 說 他 很 愛國 願意 為國 捐軀 你 相信 嗎 所謂 聽其言觀其行 我 聽 你 在 吹水 一天 沒 蓋棺 一天 也 沒法 判斷 此人 說 願意 殉國 是 真心 還是 假意 的 愛國 不是 嗎 再 補充 一點 朱容基 和 周恩來 是 好 官 的 典範 除了 你 之外 也 沒有 看到 任何 世人 用 他們 二 有人 殉國 的 準備 去 評價 他們"
